CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
08.108.133/0001-98,Agrah Comercio Exportacao e Importacao de Algodao Ltda,,Al Campinas,601,Conj e,Jardim Paulista,São Paulo,SP,01404-000,agg@agrah.com.br,,Importadoras e Exportadoras,Comércio atacadista de algodão,20/03/2006,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 35000,00",
04.001.953/0001-25,Preventiva Prestacao de Servicos Ltda,,R Graciliano Ramos,207,Sala: 101;,Tupi,Belo Horizonte,MG,31842-370,contato@preventivaerhino.com.br,(31) 3023-0144,Construção Civil,Limpeza em prédios e em domicílios,21/08/2000,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 260000,00",
30.570.902/0001-24,Autogeracao Solar Participacoes S.a,,General Rabelo,00043,Cas,Gavea,Rio de Janeiro,RJ,22451-010,fernando.slade@solargrid.com.br,(21) 4063-5085,Economia e Finanças,Holdings de instituições não financeiras,28/05/2018,Demais,Não optante,Sociedade Anônima Fechada,"R$ 9401200,00",
05.064.681/0001-75,Wg Rio Preto Consultoria Empresarial Eireli,Wg,Av da Luz,3420,,Jd Alto Rio Preto,São José do Rio Preto,SP,15020-360,wg@wg.adv.br,(17) 2139-4100,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",07/05/2002,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 72400,00",
31.546.484/0001-00,Confederal Vigilancia e Transporte de Valores Ltda,Confederal,St Saan Quadra 3,320,Lote 320,Zona Industrial,Brasília,DF,70632-300,diretoria@confederal.com.br,(61) 3403-7277,Serviços Empresariais,Atividades de vigilância e segurança privada,03/07/1987,Demais,Não optante,Sociedade Empresária Limitada,"R$ 15742000,00",
21.505.116/0001-52,Garantia Consultorias e Projetos Ambientais Ltda,Garantia Ambiental,Coronel Pedro Correia,00740,Sal 0704,Jacarepagua,Rio de Janeiro,RJ,21321-060,e.barbosa@garantiarj.com,(21) 4105-8059,Construção Civil,Atividades de estudos geológicos,01/12/2014,Demais,Optante,Sociedade Empresária Limitada,"R$ 80000,00",
02.300.098/0001-28,C.r.a.l. Empreendimentos & Participacoes Ltda,,Av do Contorno,6594,Sala 701,Savassi,Belo Horizonte,MG,30110-044,redessociais@patiolimeira.com.br,(19) 3404-2828,Serviços Financeiros,Holdings de instituições não-financeiras,03/12/1997,Demais,Não optante,Sociedade Empresária Limitada,"R$ 27348906,00",
30.423.901/0001-57,Concretiza Rio Grande Ltda.,Concretiza Rio Grande,Rural,45,,Area Rural de Quinta,Rio Grande,RS,96222-899,simone@concretizarg.com.br,(53) 99194-2992,Construção Civil,Obras de alvenaria,10/05/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
28.478.729/0001-97,Modi Arquitetura e Design Ltda,,Jose de Alencar,781,Apt 01,Menino Deus,Porto Alegre,RS,90880-481,tais@modiarquitetura.com.br,(51) 99202-8010,Arquitetura,Serviços de arquitetura,22/08/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
60.715.828/0001-58,Prodados Servicos Especializados Ltda,Prodados,R Lourenco Dias,813,,Centro,Araras,SP,13600-180,perinotto@perinotto.com.br,,Serviços Empresariais,Preparação de documentos e serviços especializados de apoio administrativo ,21/08/1990,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
21.651.162/0001-60,Imprime Ja Comercio e Servicos Ltda - Me,,R Diogo Farias,203,Loja: 01;,Centro,Guarulhos,SP,07110-090,vendas@imprimeja.com.br,,Máquinas e Equipamentos,Comércio varejista especializado de equipamentos e suprimentos de informática,09/01/2015,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 20000,00",
15.757.618/0001-78,Y3m Comercio e Servicos em Maquinas e Equipamentos Ltda,Y3m Automacao,R Jose Soares de Azevedo,330,Andar 1,Vila Santa Luzia,Taboão da Serra,SP,06754-020,financeiro@y3m-automacao.com.br,(11) 4558-2688,Decoração,Comércio varejista de outros produtos ,01/06/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
72.673.445/0001-43,Locktron Industria e Comercio Ltda,,R Libia,598,Sala 1,Pq Monte Alegre,Taboão da Serra,SP,06756-020,locktron@locktron.com.br,(11) 4787-4422,Máquinas e Equipamentos,Comércio varejista especializado de equipamentos e suprimentos de informática,06/08/1993,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
08.202.622/0001-04,Auteng Instalacoes Ltda,Auteng Instalacoes,R Rouxinol,26,,Jardim Rosemary,Cotia,SP,06704-640,wendell@auteng.com.br,,Construção Civil,Instalação e manutenção elétrica,29/12/2005,Demais,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",
67.971.564/0001-42,Oficial de Registro Civil das Pessoas Naturais do 16 Subdistrito - Mooca da Comarca da Capital.,Cartorio da Mooca,R da Mooca,2338,,Mooca,São Paulo,SP,03104-002,cartoriodamooca@cartoriodamooca.com.br,(11) 3804-2169,Advocacia e Serviços Legais,Cartórios,18/09/1992,Demais,Não optante,Serviço Notarial e Registral (Cartório),,
