CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
09.005.509/0001-00,Paromar Administracao de Bens e Participacoes Ltda,,R Rocha,167,Andar: 11; Conj: 111;,Bela Vista,São Paulo,SP,01330-000,patricia@paromar.com.br,,Imobiliárias,Aluguel de imóveis próprios,12/07/2007,Demais,Não optante,Sociedade Empresária Limitada,"R$ 10992512,00",
10.296.975/0001-62,Alves Oliveira Servicos Administrativos Eireli,,R Laurent Martins,479,Apt: 63; Bloco: B;,Jardim Esplanada,São José dos Campos,SP,12242-431,contato@alvesoliveira.adv.br,(12) 3961-2298,Serviços Empresariais,Preparação de documentos e serviços especializados de apoio administrativo ,20/08/2008,Demais,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 72400,00",
08.188.265/0001-77,Gl Comunicacao Visual Ltda,,R 1234,S/N,,Imperatriz,Criciúma,SC,88806-000,contato@glcomunicacaovisual.com.br,(48) 3442-1098,Mídia e Entretenimento,Impressão de material para outros usos,01/08/2006,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 15000,00",
10.890.877/0001-59,Pero Cavichiolo Comercio de Produtos Alimenticios Ltda,Distribuidora Sorriso,Est do Ganchinho,4165,,Ganchinho,Curitiba,PR,81935-552,contato@distribuidorasorriso.com.br,,Alimentos e Bebidas,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",27/05/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 40000,00",
46.325.254/0001-80,Grandfood Industria e Comercio Ltda,,Rod Luis Augusto de Oliveira Km 204,S/N,,Zona Rural,Dourado,SP,13590-000,elourenco@premierpet.com.br,(11) 5502-7400,Fábricas e Indústrias,Fabricação de alimentos para animais,31/07/1975,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1264000,00",501-1.000
59.632.232/0001-05,Nova Versao Confeccao de Moda Ltda,,Av Dulce Carneiro,121,Fundos,Jardim Anchieta,São Paulo,SP,04402-060,contato@novaversaobordados.com.br,,Moda e Indústria Têxtil,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",01/11/1988,Micro empresa,Optante,Sociedade Empresária Limitada,,
04.810.813/0001-06,Bt Construcoes Ltda.,Bt Construcoes,Rod Laudelina Perpetua de Jesus,945,Setor: Usinas;,Distrito Industrial,Uberlândia,MG,38402-829,contabilidade@btconstrucoes.com.br,(37) 3221-4500,Construção Civil,Construção de rodovias e ferrovias,04/12/2001,Demais,Não optante,Sociedade Empresária Limitada,"R$ 29787347,00",150
21.534.055/0001-51,Alvim Rezende Advogados Associados,Alvim Rezende Advogados Associados,Doutor Elias Cesar,55,Sala: 704; Cond: City Hall Center;,Caicaras,Londrina,PR,86015-640,sergio@alvimrezende.com.br,(43) 3343-0249,Advocacia e Serviços Legais,Serviços advocatícios,16/08/2013,Demais,Optante,Sociedade Simples Pura,"R$ 5000,00",
14.762.253/0001-07,Gatre Servicos e Treinamentos Profissionais Ltda,Gatre Treinamentos,R Pinto Madeira,1500,Sala 03,Aldeota,Fortaleza,CE,60150-055,arthur@gatre.com.br,,Educação,Treinamento em desenvolvimento profissional e gerencial,08/12/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
90.930.967/0001-65,Mazzochini Comercio de Produtos Laboratoriais Ltda,,R das Gardenias,111,,Cinquentenario,Caxias do Sul,RS,95012-200,rh@mazzochini.com.br,(54) 3225-4005,Medicina e Saúde,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",05/06/1986,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 80000,00",
