CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
02.094.110/0001-95,Preview Servicos Ltda,,R Aibi,110,Conj: 21;,Vila Ipojuca,São Paulo,SP,05054-010,fatima@previewserv.com.br,(11) 3021-4500,Informática,Desenvolvimento de programas de computador sob encomenda,04/12/1996,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
06.787.218/0001-14,Advance Design Ltda,Advance Design,Jose Avelino,480,"Salas 01, 02 e 03",Centro,Fortaleza,CE,60060-360,guilherme@advance.com.br,(85) 4006-2703,Informática,Desenvolvimento de programas de computador sob encomenda,26/07/2004,Demais,Optante,Sociedade Empresária Limitada,,
07.029.586/0001-66,F6 Sistemas de Informatica Ltda,4yousee,R Contendas,255,Conj: 2;,Alto Barroca,Belo Horizonte,MG,30431-012,contato@4yousee.com.br,(31) 3785-1118,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,14/10/2004,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
18.037.851/0001-74,Addsys Solucoes em Tecnologia Ltda,,Giselia Gomes Barros Bahia,544,,Ipanema,Aracatuba,SP,16052-120,feracini@addsys.com.br,(18) 98143-6596,Informática,Desenvolvimento de programas de computador sob encomenda,02/05/2013,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
85.135.606/0001-97,Sistema Informatica Empresarial Ltda,,R Joao Cechinel,506,,Pio Correa,Criciúma,SC,88811-500,sistemainfo@sistemainfo.com.br,(48) 2101-6770,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,15/08/1991,Demais,Excluído,Sociedade Empresária Limitada,,51-200
03.948.466/0001-01,Extend.net Servicos de Informatica Ltda,Extend.net,Av Marechal Camara,160,Sala 1612,Centro,Rio de Janeiro,RJ,20020-080,comercial@infinitymedia.com.br,(21) 3717-1734,Informática,Desenvolvimento de programas de computador sob encomenda,17/07/2000,Demais,Não optante,Sociedade Simples Limitada,"R$ 720000,00",
28.615.968/0001-41,Menegazzo Tecnologia da Informacao Ltda,,Jose Reuter,2603,Apt 202,Velha Central,Blumenau,SC,89046-000,gestao@menegazzo.info,(47) 99983-0844,Informática,Desenvolvimento de programas de computador sob encomenda,11/09/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
07.462.979/0001-69,Midion Informacao e Comunicacao Ltda,Midion Novas Midias e Relacionamentos,R Presidente Faria,248,Cj.42,Centro,Curitiba,PR,80020-290,charles@midion.com.br,(41) 3029-5850,Informática,Desenvolvimento de programas de computador sob encomenda,16/06/2005,Micro empresa,Não optante,Sociedade Empresária Limitada,,
08.645.231/0001-64,Gs Tecnologia e Negocios Ltda,,Av Doutor Aniloel Nazareth,5650,Sala 03,Jardim Estrela,São José do Rio Preto,SP,15070-230,simonato@gisconsult.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,24/01/2007,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 538000,00",11-50
04.020.610/0001-08,Conquest Informatica Ltda,Conquest Informatica,R Ribeiro de Brito,1002,Sala 1001 e 1002,Boa Viagem,Recife,PE,51021-310,financeiro@conquest.com.br,(21) 3396-3674,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,24/08/2000,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
11.795.637/0001-38,Quantum Brasil Engenharia em Software Ltda,Quantum Brasil,Carneiro da Cunha,303,Andar 11 Sala 111,Vila da Saude,São Paulo,SP,04144-000,jorge.pinto@quantum-software.com.br,(11) 3572-8383,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,07/04/2010,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 500000,00",
72.845.100/0001-20,Sw Sistemas de Gestao Web Ltda,Rkm Sistemas - Projetos e Processos,Manoel Ferraz de Arruda Campos,565,Sala 49,Cidade Alta,Piracicaba,SP,13419-130,paulo.oliveira@rkmsistemas.com.br,(19) 3433-7704,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,28/09/1993,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 165000,00",
00.443.973/0001-03,Gorgueira Engenharia de Sistemas e Comercio Ltda,Softmidia,R Cantagalo,692,Conjunto 1120,11 Andar,São Paulo,SP,03319-000,fapesp@gorgueira.com.br,(11) 2941-3164,Informática,Desenvolvimento de programas de computador sob encomenda,15/02/1995,Micro empresa,Não optante,Sociedade Empresária Limitada,,
55.288.856/0001-04,Bps Comercio e Tecnologia Ltda,,R Frederico Michel,421,,Pq Interlagos,São Paulo,SP,04783-170,amanda@lifepsicologia.com.br,(11) 5667-6760,Informática,Desenvolvimento de programas de computador sob encomenda,26/11/1985,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
03.333.759/0001-84,Intereme Sistemas Ltda,Intereme Sistemas,Av Porto Alegre - e,558,Letra e Sala 01,Centro,Chapecó,SC,89814-100,jose@intereme.com.br,(49) 98813-9017,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/08/1999,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
00.736.433/0001-00,Tcs Sistemas e Informatica Ltda,,R Dom Antonio Passaggi,1463,,Exposicao,Caxias do Sul,RS,95084-230,comercial@tcssistemas.com.br,(54) 3028-8844,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,31/07/1995,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",1-10
07.506.327/0001-89,Santri Sistemas Ltda,Santri Sistemas,Av C 255,270,Quadra: 588; Lote: 04/08; Sala: 504 A 509 514 e ; Sala: 518 A 522;,Setor Nova Suica,Goiânia,GO,74280-010,comercial@santri.com.br,(62) 3095-2695,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,19/07/2005,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 500000,00",11-50
33.947.348/0001-40,Nordt e Gechonke Tecnologia da Informacao Ltda,Ng Tecnologia,Paulista,171,Pavmto4,Bela Vista,São Paulo,SP,01311-000,hnordt@hnordt.com,(45) 98428-0784,Informática,Desenvolvimento de programas de computador sob encomenda,17/06/2019,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 2000,00",
31.685.299/0001-99,Acdcorp - Desenvolvimento de Sistemas Eireli,Acdcorp,Aderval Colaco Diniz,777,Sala 02 - Escritorio,Alto dos Medeiros,Juazeirinho,PB,58660-000,sac@acdcorp.com.br,(83) 99999-9999,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,04/10/2018,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 105000,00",
06.352.110/0001-07,Itflex Tecnologia Ltda.,,R Fortaleza,76,Sala 04,Saguacu,Joinville,SC,89221-650,suporte@itflex.com.br,(41) 4042-4953,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,24/06/2004,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,
00.456.370/0001-38,Agrosoft Assessoria e Desenvolvimento de Sistemas Ltda,,R Argentina,139,,Centro,Erechim,RS,99700-026,solange@grupoagros.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,21/02/1995,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 121000,00",
81.777.815/0001-83,Bma Sistemas Ltda,,R Ottokar Doerffel,776,"Sala 5, 2 Piso",Atiradores,Joinville,SC,89203-001,vagas@bmasistemas.com.br,(47) 3028-9520,Informática,Desenvolvimento de programas de computador sob encomenda,12/03/1990,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,20
29.628.474/0001-64,Negocios Engenharia Ltda,,Pedro Paes Azevedo,488,Sala 02,Salgado Filho,Aracaju,SE,49020-450,negocios@engenhariald.com.br,(71) 99669-9985,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,06/02/2018,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
11.806.139/0001-43,Ad-hoc Projeto e Desenvolvimento de Software Ltda,Ad-hoc Brasil,R Paulo Antonio do Nascimento,145,Sala 44 Andar 4,Portal da Colina,Sorocaba,SP,18047-400,adm@adhocbrasil.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,08/04/2010,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 150000,00",
73.922.171/0001-41,Hartsystem Sistemas Ltda,,R Frei Estanislau Schaette,526,3. Andar,Agua Verde,Blumenau,SC,89037-000,admin@hartsystem.com.br,(47) 3329-2772,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,20/12/1993,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,5
33.535.050/0001-22,Vermelha Consultoria Ltda,,Zeferino Vieira,656,Sala 04,Vermelha,Teresina,PI,64019-020,vermelha@vermelhaconsultoria.com.br,(86) 3303-3400,Arquitetura,Serviços de desenho técnico relacionados à arquitetura e engenharia,06/05/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
00.572.914/0001-27,Central Point Comercio e Servicos Ltda,,R da Assembleia,10,Loja: E;,Centro,Rio de Janeiro,RJ,20011-000,atendimento@centralpoint.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,19/04/1995,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 325000,00",
17.335.694/0001-10,Rossini Consultoria e Tecnologia Ltda,,R Alfredo Mariani,131,Sala: 02;,Jardim Campo Belo,Nuporanga,SP,14670-000,contato@rctec.net.br,(16) 99157-7473,Informática,Desenvolvimento de programas de computador sob encomenda,12/12/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
27.702.274/0001-89,Iboltt Tecnologia em Logistica e Transportes Ltda,Iboltt,Alfandega,35,Loja 0401 Shopping Paco Alfandega,Recife,Recife,PE,50030-030,contato@iboltt.com,(81) 98166-1414,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,10/05/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 200000,00",
02.847.436/0001-46,Hashimoto Cavalcante Informatica Ltda,,R Solidonio Leite,2410,Salas 01 e 02,Vl. Ema,São Paulo,SP,03275-000,jcavalcante@hcinet.com.br,(11) 2302-9015,Informática,Desenvolvimento de programas de computador sob encomenda,18/11/1998,Micro empresa,Não optante,Sociedade Empresária Limitada,,
11.222.897/0001-14,Cybersoft Sistemas Ltda.,,R Neves Armond,210,Sala 807,Praia do Sua,Vitória,ES,29052-280,elismar@cybersoftsistemas.com.br,(27) 3022-1281,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/10/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
09.606.741/0001-95,Saikoo Desenvolvimento de Sistemas de Informatica Ltda,Saikoo Sistemas,Av General Vale,321,Andar 12 Sala 1201 Edif Marechal Rondon,Bandeirantes,Cuiabá,MT,78010-000,comercial@saikoosistemas.com.br,(65) 3023-1510,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,03/06/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
20.944.677/0001-95,Swarm Tecnologia Ltda,,R Alberto de Oliveira Santos,42,Sala: 1617;,Centro,Vitória,ES,29010-250,contato@improvenow.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,22/08/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 600,00",
15.533.772/0001-66,Cilia Tecnologia Ltda,Cilia Tecnologia,R 3,800,Quadrac6 Lote 73/75 Sala 404/405/406/407/408 Edif Office Tower,Setor Oeste,Goiânia,GO,74115-050,contato@cilia.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,15/05/2012,Demais,Não optante,Sociedade Empresária Limitada,"R$ 100000,00",
34.355.833/0001-97,Dapp Brasil Desenvolvimento de Sistemas Ltda,,Roberto Felicio,55,,Urbanova,São José dos Campos,SP,12244-864,ricardo@dappbr.com.br,(12) 98173-3103,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,29/07/2019,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
67.958.991/0001-90,Suse Software Solutions Brasil Ltda.,,Fidencio Ramos,302,Conj 43 Torre B Edif Vl Olimpia Corporate,Vila Olimpia,São Paulo,SP,04551-010,cristiana.maranhao@suse.com,(11) 4210-7986,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,30/04/1992,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1766013,00",
23.353.331/0001-00,Rogercon Programas de Informatica Ltda,Rogercon Software,Siqueira Campos,1748,Sala 01,Parque Industrial,Sao Jose do Rio Preto,SP,15025-055,rogerio@rogercon.com.br,(17) 3212-5135,Informática,Desenvolvimento de programas de computador sob encomenda,25/09/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
05.117.198/0001-01,Knowhouse Consultoria de Negocios Ltda,,R Treze de Maio,1954,Conj 121,Paraiso,São Paulo,SP,01327-002,comercial@trustline.com.br,(11) 3287-7177,Informática,Desenvolvimento de programas de computador sob encomenda,22/05/2002,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",
14.982.217/0001-59,Cubo9 Solucoes em Tecnologia da Informacao e Servicos Ltda,Cubo9,do Futuro,564,,Gracas,Recife,PE,52050-005,contato@cubo9.com.br,(81) 3061-1250,Informática,Desenvolvimento de programas de computador sob encomenda,31/01/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
06.177.994/0001-00,Jjg Consultoria Ltda,,R da Olaria,581,,Sao Jorge,Panambí,RS,98280-000,contato@jjgconsultoria.com.br,(55) 3375-6966,Informática,Desenvolvimento de programas de computador sob encomenda,11/03/2004,Micro empresa,Optante,Sociedade Empresária Limitada,,
08.032.121/0001-27,Neomind Solutions Informatica Ltda,Neomind,R Expedicionario Holz,351,Sala 02,America,Joinville,SC,89201-740,francine.bahiense@neomind.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,25/05/2006,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1000000,00",51-200
09.942.302/0001-53,Favre Servicos de Tecnologia Ltda,,Ragueb Chohfi,1835,Apt 12 Bloco 03,Parque Sao Lourenco,São Paulo,SP,08340-000,rodrigo@rrfavre.com.br,(11) 98530-3034,Informática,Desenvolvimento de programas de computador sob encomenda,23/06/2008,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 1000,00",
22.152.318/0001-20,90 Tecnologia da Informacao Ltda,90 Tecnologia da Informacao Ltda,Av do Contorno,2090,Sala: 401 e 101;,Floresta,Belo Horizonte,MG,30110-012,financeiro@noventa.com.br,(31) 2101-9090,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,03/07/1986,Demais,Não optante,Sociedade Empresária Limitada,"R$ 30500,00",47
03.368.287/0001-03,Cty Informatica Ltda,,Av Pastor Martin Luther King Jr,126,Bloco 9 Sala 410 Torre 1,Del Castilho,Rio de Janeiro,RJ,20765-000,info@cty.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,17/08/1999,Micro empresa,Optante,Sociedade Empresária Limitada,,
